ITEMNMBR,UOFM,Description,MinCost,MaxCost,AvgCost,TxCount,VendorCount,SpreadPct
NO3CABG                        ,LBS      ,Calcium Nitrate 11% 50 lb. Bags                                                                      ,0.135,0.24,0.205,3,1,77.77777777777776
LOVEJOY COUPLING               ,Each     ,fert. mixer                                                                                          ,70.07,123.77,96.91999999999999,2,1,76.63764806621951
MISCOIL02                      ,GAL07.00 ,Spray Oil UAP                                                                                        ,2.07,3.65,2.249222222222222,9,1,76.32850241545894
"2"" 90DEG PVC ELL               ",Each     ,Sch 80 Soc.x Soc.                                                                                    ,1.6,2.8,2.2,2,1,74.99999999999997
SO4MG                          ,LBS      ,Magnesium Sulphate 19.8%                                                                             ,0.195,0.3407,0.24318333333333333,12,3,74.71794871794872
TANKS FOR RESALE               ,Each     ,                                                                                                     ,1515.97,2611.87,1972.7166666666665,3,1,72.2903487536033
NO3MG60                        ,LBS      ,Magnesium Nitrate 6%                                                                                 ,0.11485,0.19709,0.1529936974789916,119,2,71.60644318676535
NPK2800                        ,LBS      ,N-Sure 28-0-0 --  N28                                                                                ,0.27051,0.4632,0.31824425531914896,47,3,71.23211711212156
OXZN                           ,LBS      ,Zinc Oxide                                                                                           ,0.54,0.92,0.668,5,2,70.37037037037037
LABOR - TRAVEL                 ,Each     ,Service call on-site                                                                                 ,67.5,115.0,83.33333333333333,3,2,70.37037037037037
AIR REGULATORS                 ,Each     ,                                                                                                     ,24.2,41.17,32.685,2,2,70.12396694214877
"1"" PVC CLEAR HOSE              ",Each     ,PVC 115 Clear Suction Hose                                                                           ,1.5,2.54,2.124,5,1,69.33333333333334
GRPFULVICDRY                   ,LBS      ,Fulvic Acid 75% Dry                                                                                  ,2.31788,3.91228,2.848445,4,1,68.78699501268399
"3"" GASKETS                     ",Each     ,                                                                                                     ,0.815,1.37,1.075,4,3,68.09815950920249
"20"" STRETCH WRAP               ",Each     ,                                                                                                     ,23.0,38.0,29.77,5,2,65.21739130434783
NO3CU                          ,LBS      ,Copper Nitrate 14%                                                                                   ,0.78687,1.3,0.8809391999999999,25,2,65.21153430681053
TRAVEL TIME                    ,Each     ,Test Truck minimum mileage                                                                           ,140.0,230.0,200.0,6,2,64.28571428571429
OXMG                           ,LBS      ,Magnesium Oxide 98%                                                                                  ,0.26,0.425,0.355,9,4,63.461538461538446
MAINT SUPPLIES                 ,Each     ,                                                                                                     ,67.67,109.57,89.145,4,2,61.91813211171861
NPKATS                         ,LBS      ,Ammonium Thiosulphate 12-0-0 26                                                                      ,0.1552,0.24962,0.2063691666666667,12,1,60.83762886597939
UPS RED DELIVERY               ,Each     ,                                                                                                     ,106.04,169.0,137.52,4,2,59.37382119954733
SO4EPSOM                       ,LBS      ,Epsom Salt 9.8%                                                                                      ,0.145,0.23,0.17625000000000002,10,5,58.620689655172434
ZZ5GALCAMO                     ,EACH5    ,5 Gallon Camo Pail                                                                                   ,3.45,5.41,4.460909090909091,11,2,56.811594202898554
GRPFULVIC                      ,LBS      ,Fulvic Acid Liquid 30%                                                                               ,1.61363,2.52953,2.343264285714286,7,2,56.76022384313628
JRM FERROMAN (JUG LABEL)       ,Each     ,JRM Ferroman (1000 rl)                                                                               ,0.12683,0.197,0.161915,4,1,55.32602696522906
